Week,Yards,TD
REG1,101,1
REG2,54,1
REG3,65,2
REG4,77,0
REG5,159,1
REG6,97,0
REG7,201,1
REG8,32,1
REG9,49,0
REG11,32,1
REG12,39,0
REG13,52,0
REG14,77,2
REG15,3,0
REG16,125,0
REG17,266,3
REG18,26,0
POST1,116,0
POST2,109,0
POST3,54,1
POST4,89,0
