Week,Yards,TD
REG1,58,1
REG2,60,1
REG5,32,0
REG6,44,0
REG7,62,0
REG8,97,0
REG9,78,0
REG11,15,0
REG12,114,1
REG13,138,1
REG14,114,0
REG15,23,0
REG16,194,2
REG17,62,0
POST1,10,0
POST2,96,0
POST3,103,0
POST4,100,2
